ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,InsuranceValidity,RTO,Mileage,Color,EngineType,Displacement,NoofCylinder,FuelSuppySystem,TurboCharger,SuperCharger,GearBox,DriveType, SeatingCapacity,SteeringType,FrontBrakeType,RearBrakeType,TyreType,NoDoorNumbers,city
Petrol,Hatchback,98074,Manual,1,Maruti,Maruti Baleno,2016,1.2 Delta,432000,Comprehensive,WB24,21.4,Red,VVT Petrol Engine,1197,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Diesel,Sedan,40330,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2013,C 220 CDI Elegance AT,1080000,Comprehensive,WB02,14.84,White,CDI Blue Efficiency Engin,2143,4,Direct Injection,No,No,7,RWD,5,Power,Ventilated Disc,Solid Disc,"Tubeless,Radial",4,Kolkata
Petrol,Sedan,84989,Manual,2,Maruti,Maruti Swift Dzire,2014,VXI,314000,Comprehensive,WB02,22.41,Silver,CDI Blue Efficiency Engin,1197,4,Direct Injection,No,No,5,RWD,5,Electric,Disc,Drum,"Tubeless, Radial",4,Kolkata
Petrol,Hatchback,72017,Manual,2,Maruti,Maruti Wagon R,2014,VXI BS IV,269000,Comprehensive,WB02,20.51,Silver,K10B Petrol Engine,998,3,Direct Injection,No,No,5,FWD,5,Power,Ventilated Disc,Drum,Tubeless Tyres,5,Kolkata
Petrol,Sedan,85862,Manual,1,Maruti,Maruti Swift Dzire,2015,VXI,342000,Comprehensive,WB08,22.41,Others,DDiS Diesel Engine,1197,4,CRDI,Yes,No,5,FWD,5,Electric,Disc,Drum,"Tubeless, Radial",4,Kolkata
Petrol,Hatchback,70000,Manual,2,Maruti,Maruti Alto,2011,LXi,150000,Third Party insurance,WB06,19.7,Others,In-Line Engine,796,3,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,48005,Manual,1,Mahindra,Mahindra KUV 100 NXT,2017,G80 K4 Plus,407000,Third Party,WB02,18.15,White,mFALCON G80 Engine,1198,3,MPFI,No,No,5,FWD,6,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,8625,Manual,1,Hyundai,Hyundai Santro,2019,Sportz BSIV,460000,Zero Dep,WB18,20.3,Silver,1.1 litre Petrol Engine,1086,4,MPFI,No,No,5,FWD,5,Power,Disc,Drum,"Tubeless,Radial",5,Kolkata
Petrol,Hatchback,10000,Manual,1,Tata,Tata Altroz,2020,XZ BSVI,725000,Third Party insurance,WB20,19.33,Others,1.2 l Revotron,1199,3,MPFI,No,No,5,FWD,5,Electric,Disc,Drum,"Tubeless,Radial",5,Kolkata
Diesel,Sedan,67000,Manual,1,Skoda,Skoda Laura,2012,Elegance 2.0 TDI CR MT,340000,Third Party insurance,WB02,20.0,Maroon,Turbocharged Diesel Engin,1968,4,Direct Injection,Yes,No,5,FWD,5,Power,Disc,Disc,"Tubeless,Radial",4,Kolkata
